📺央视频道,#genre#
太原-4,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000183/1000.m3u8?
太原-5,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000185/1000.m3u8?
太原教育,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000178/1000.m3u8?
运城稷山,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000200/1000.m3u8?
晋中左权,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000195/1000.m3u8?
阳泉新闻综合,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000218/1000.m3u8?
阳泉科教,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000219/1000.m3u8?
阳泉平定综合,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000196/1000.m3u8?
朔州-1,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000210/1000.m3u8?
朔州-2,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000209/1000.m3u8?
临汾永和,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000187/1000.m3u8?
长治潞州,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000188/1000.m3u8?
霍州频道,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000179/1000.m3u8?
山西焦煤,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000190/1000.m3u8?
绛县电视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000206/1000.m3u8?

📺卫视频道,#genre#
北京卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000017/1000.m3u8?
天津卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/00000001000000060000000000000249/1000.m3u8?
山东卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000013/1000.m3u8?
